Data da Venda;Hora da Venda;Número do Pedido;Item do Pedido;Valor Total;Método de Pagamento;Código do Cliente;Tipo de Venda;Avaliação do Cliente;Custo dos Ingredientes;Soma de Vendas;Soma do Custo de Ingredientes
01/01/2023;18:00:00;1001;Hamburguer de Frango;15,5;Cartão de Crédito Visa;1234;Física;5 estrelas;6,98;1788,25;804,71
02/01/2023;18:30:00;1002;Pizza Margherita;12;Cartão de Crédito MasterCard;5678;Delivery;4 estrelas;5,40;;
03/01/2023;19:00:00;1003;Batata Frita;5;Cartão de Crédito American Express;9876;Física;3 estrelas;2,25;;
04/01/2023;19:30:00;1004;Coca-Cola Lata;3;Cartão de Crédito Diners Club;4321;Delivery;5 estrelas;1,35;;
05/01/2023;20:00:00;1005;Salada Caesar;8,5;Cartão de Crédito Discover;7890;Delivery;4 estrelas;3,83;;
06/01/2023;20:30:00;1006;Sorvete de Chocolate;6;Cartão de Débito Visa;3456;Física;2 estrelas;2,70;;
07/01/2023;21:00:00;1007;Salmão Grelhado;18,75;Cartão de Débito MasterCard;6543;Física;5 estrelas;8,44;;
08/01/2023;21:30:00;1008;Taco de Carne;10,25;Dinheiro;2109;Delivery;4 estrelas;4,61;;
09/01/2023;22:00:00;1009;Lasanha à Bolonhesa;13,5;Vale-Alimentação;8765;Delivery;3 estrelas;6,08;;
10/01/2023;22:30:00;1010;Sobremesa de Cheesecake;7,75;Vale-Refeição;5432;Física;5 estrelas;3,49;;
11/01/2023;23:00:00;1011;Burrito de Frango;11;Ticket Restaurante;1098;Delivery;4 estrelas;4,95;;
12/01/2023;18:00:00;1012;Cerveja Artesanal IPA;6,75;Sodexo;8765;Física;3 estrelas;3,04;;
13/01/2023;18:30:00;1013;Tiramisu;8,25;VR Refeição;4321;Física;5 estrelas;3,71;;
14/01/2023;19:00:00;1014;Taco de Peixe;11,5;Alelo;7890;Delivery;4 estrelas;5,18;;
15/01/2023;19:30:00;1015;Macarrão Alfredo;9;Cielo;1234;Física;1 estrela;4,05;;
16/01/2023;20:00:00;1016;Sopa de Tomate;6,25;Apple Pay;5678;Delivery;5 estrelas;2,81;;
17/01/2023;20:30:00;1017;Pudim de Caramelo;5,75;Google Pay;9876;Delivery;4 estrelas;2,59;;
18/01/2023;21:00:00;1018;Milkshake de Baunilha;4,5;Samsung Pay;5432;Física;5 estrelas;2,03;;
19/01/2023;21:30:00;1019;Wrap de Vegetariano;10;Samsung Pay;2109;Delivery;3 estrelas;4,50;;
20/01/2023;22:00:00;1020;Sushi de Salmão;14,25;Pix;6543;Física;4 estrelas;6,41;;
21/01/2023;22:30:00;1021;Café Expresso;2,5;Voucher;1098;Física;2 estrelas;1,13;;
22/01/2023;23:00:00;1022;Tofu Frito;7;Cartão de Crédito Elo;1234;Delivery;5 estrelas;3,15;;
23/01/2023;18:00:00;1023;Margarita;8,75;Cartão de Crédito Hipercard;5678;Delivery;4 estrelas;3,94;;
24/01/2023;18:30:00;1024;Nachos com Queijo;9,5;Cartão de Crédito Hiper;2109;Física;4 estrelas;4,28;;
25/01/2023;19:00:00;1025;Risoto de Cogumelos;12,75;Cartão de Débito Elo;8765;Delivery;3 estrelas;5,74;;
26/01/2023;19:30:00;1026;Wrap de Frango Grelhado;11,5;Cartão de Débito Hipercard;4321;Física;5 estrelas;5,18;;
27/01/2023;20:00:00;1027;Smoothie de Manga;5,75;Cartão de Crédito Itaú;9876;Física;4 estrelas;2,59;;
28/01/2023;20:30:00;1028;Hamburguer Vegetariano;13;Cartão de Débito Itaú;3456;Delivery;5 estrelas;5,85;;
29/01/2023;21:00:00;1029;Sopa de Frango com Macarrão;7,25;Cartão de Crédito Bradesco;6543;Física;4 estrelas;3,26;;
30/01/2023;21:30:00;1030;Mojito;8,5;Cartão de Débito Bradesco;1098;Delivery;2 estrelas;3,83;;
31/01/2023;22:00:00;1031;Cachorro-Quente;5;Cartão de Crédito Santander;5432;Física;3 estrelas;2,25;;
01/02/2023;22:30:00;1032;Salada de Quinoa;9,75;Cartão de Débito Santander;4321;Delivery;5 estrelas;4,39;;
02/02/2023;23:00:00;1033;Tacos de Camarão;12,25;Cartão de Crédito Caixa;5678;Física;4 estrelas;5,51;;
03/02/2023;18:00:00;1034;Limonada Fresca;4;Cartão de Débito Caixa;2109;Delivery;3 estrelas;1,80;;
04/02/2023;18:30:00;1035;Burrito de Vegetariano;10,5;Cartão de Crédito Banco do Brasil;8765;Física;4 estrelas;4,73;;
05/02/2023;19:00:00;1036;Frango Assado;15;Cartão de Crédito Visa;1234;Física;5 estrelas;6,75;;
06/02/2023;19:30:00;1037;Sorvete de Morango;6,25;Cartão de Crédito MasterCard;9876;Delivery;4 estrelas;2,81;;
07/02/2023;20:00:00;1038;Peixe Frito com Batatas;12,75;Cartão de Crédito American Express;1098;Delivery;5 estrelas;5,74;;
08/02/2023;20:30:00;1039;Pizza de Pepperoni;11;Cartão de Crédito Diners Club;3456;Física;3 estrelas;4,95;;
09/02/2023;21:00:00;1040;Sopa de Lentilhas;7,5;Cartão de Crédito Discover;6543;Física;4 estrelas;3,38;;
10/02/2023;21:30:00;1041;Bolo de Chocolate;8,25;Cartão de Débito Visa;5432;Delivery;4 estrelas;3,71;;
11/02/2023;22:00:00;1042;Wrap de Carne;11,25;Cartão de Débito MasterCard;2109;Física;2 estrelas;5,06;;
12/02/2023;22:30:00;1043;Pasta Primavera;9,5;Dinheiro;8765;Delivery;5 estrelas;4,28;;
13/02/2023;23:00:00;1044;Milkshake de Morango;4,75;Vale-Alimentação;9876;Física;4 estrelas;2,14;;
14/02/2023;18:00:00;1045;Tacos de Carne Al Pastor;10;Vale-Refeição;4321;Delivery;5 estrelas;4,50;;
15/02/2023;18:30:00;1046;Sushi de Atum;13,75;Ticket Restaurante;1098;Física;4 estrelas;6,19;;
16/02/2023;19:00:00;1047;Café com Leite;2,75;Sodexo;5678;Delivery;3 estrelas;1,24;;
17/02/2023;19:30:00;1048;Salada de Frutas;5,5;VR Refeição;3456;Física;4 estrelas;2,48;;
18/02/2023;20:00:00;1049;Poke Bowl de Salmão;12;Alelo;1234;Física;5 estrelas;5,40;;
19/02/2023;20:30:00;1050;Caipirinha;7,5;Cielo;6543;Delivery;1 estrela;3,38;;
20/02/2023;21:00:00;1051;Chips de Tortilha;3,75;Apple Pay;2109;Delivery;4 estrelas;1,69;;
21/02/2023;21:30:00;1052;Massa Carbonara;11,5;Google Pay;5432;Física;3 estrelas;5,18;;
22/02/2023;22:00:00;1053;Tortellini de Queijo;10;Samsung Pay;4321;Delivery;5 estrelas;4,50;;
23/02/2023;22:30:00;1054;Salada de Alface;6,25;Pix;3456;Física;4 estrelas;2,81;;
24/02/2023;23:00:00;1055;Brownie com Sorvete;7,75;Pix;1098;Delivery;4 estrelas;3,49;;
25/02/2023;18:00:00;1056;Churrasco de Costelas;14,5;Voucher;8765;Física;2 estrelas;6,53;;
26/02/2023;18:30:00;1057;Pizza de Frango BBQ;12,75;Cartão de Crédito Elo;1234;Física;5 estrelas;5,74;;
27/02/2023;19:00:00;1058;Sopa de Brócolis;6,5;Cartão de Crédito Hipercard;5678;Delivery;4 estrelas;2,93;;
28/02/2023;19:30:00;1059;Tarte de Limão;8;Cartão de Crédito Hiper;9876;Física;3 estrelas;3,60;;
01/03/2023;20:00:00;1060;Smoothie de Banana;4,25;Cartão de Débito Elo;6543;Delivery;5 estrelas;1,91;;
02/03/2023;20:30:00;1061;Hamburguer de Cordeiro;16;Cartão de Débito Hipercard;5432;Delivery;4 estrelas;7,20;;
03/03/2023;21:00:00;1062;Cerveja Pilsen;5;Cartão de Débito Hiper;2109;Física;4 estrelas;2,25;;
04/03/2023;21:30:00;1063;Tacos de Frango;10,25;Cartão de Crédito Sicredi;4321;Delivery;3 estrelas;4,61;;
05/03/2023;22:00:00;1064;Margarita de Morango;9;Cartão de Débito Sicredi;8765;Física;5 estrelas;4,05;;
06/03/2023;22:30:00;1065;Guacamole;6,5;Cartão de Crédito Itaú;1234;Física;4 estrelas;2,93;;
07/03/2023;23:00:00;1066;Salmão ao Molho de Limão;17,25;Cartão de Débito Itaú;1098;Delivery;5 estrelas;7,76;;
08/03/2023;18:00:00;1067;Taco de Carnitas;11,75;Cartão de Crédito Bradesco;3456;Delivery;4 estrelas;5,29;;
09/03/2023;18:30:00;1068;Batata Doce Frita;5,5;Cartão de Débito Bradesco;9876;Física;2 estrelas;2,48;;
10/03/2023;19:00:00;1069;Ravioli de Espinafre;10,75;Cartão de Crédito Santander;5678;Delivery;3 estrelas;4,84;;
11/03/2023;19:30:00;1070;Sorvete de Baunilha;6,75;Cartão de Débito Santander;4321;Física;5 estrelas;3,04;;
12/03/2023;20:00:00;1071;Tacos de Camarão;3;Cartão de Crédito Caixa;6543;Física;4 estrelas;1,35;;
13/03/2023;20:30:00;1072;Café Americano;6,25;Cartão de Débito Caixa;2109;Delivery;3 estrelas;2,81;;
14/03/2023;21:00:00;1073;Salada Caprese;11;Cartão de Crédito Banco do Brasil;8765;Física;4 estrelas;4,95;;
15/03/2023;21:30:00;1074;Wrap de Salmão;2,5;Cartão de Crédito Visa;5432;Delivery;5 estrelas;1,13;;
16/03/2023;22:00:00;1075;Milkshake de Chocolate;7,5;Cartão de Crédito MasterCard;1234;Física;4 estrelas;3,38;;
17/03/2023;22:30:00;1076;Burrito de Carne;12;Cartão de Crédito American Express;1098;Delivery;5 estrelas;5,40;;
18/03/2023;23:00:00;1077;Nachos com Guacamole;7,5;Cartão de Crédito Diners Club;9876;Física;3 estrelas;3,38;;
19/03/2023;18:00:00;1078;Sopa de Cebola;8;Cartão de Crédito Discover;3456;Delivery;4 estrelas;3,60;;
20/03/2023;18:30:00;1079;Cheesecake de Framboesa;4,5;Cartão de Débito Visa;4321;Física;4 estrelas;2,03;;
21/03/2023;19:00:00;1080;Taco de Frango Grelhado;12,75;Cartão de Débito MasterCard;5678;Física;2 estrelas;5,74;;
22/03/2023;19:30:00;1081;Cerveja Stout;13,25;Dinheiro;2109;Delivery;5 estrelas;5,96;;
23/03/2023;20:00:00;1082;Pizza de Vegetariana;8;Vale-Alimentação;6543;Delivery;4 estrelas;3,60;;
24/03/2023;20:30:00;1083;Bolo de Cenoura;8,75;Vale-Refeição;8765;Física;5 estrelas;3,94;;
25/03/2023;21:00:00;1084;Smoothie de Abacaxi;10,25;Ticket Restaurante;1234;Delivery;4 estrelas;4,61;;
26/03/2023;21:30:00;1085;Lasanha de Frango;6;Sodexo;5432;Física;3 estrelas;2,70;;
27/03/2023;22:00:00;1086;Caipiroska;11,25;VR Refeição;1098;Delivery;4 estrelas;5,06;;
28/03/2023;22:30:00;1087;Hamburguer de Picanha;5,75;Alelo;9876;Física;5 estrelas;2,59;;
29/03/2023;23:00:00;1088;Tofu com Legumes;6,5;Cielo;4321;Física;1 estrela;2,93;;
30/03/2023;18:00:00;1089;Pizza de Quatro Queijos;13,5;Apple Pay;5678;Delivery;4 estrelas;6,08;;
31/03/2023;18:30:00;1090;Salmão Teriyaki;5;Google Pay;2109;Física;3 estrelas;2,25;;
01/04/2023;19:00:00;1091;Chips de Batata;3,25;Samsung Pay;3456;Delivery;5 estrelas;1,46;;
02/04/2023;19:30:00;1092;Taco de Churrasco;15;Pix;6543;Delivery;4 estrelas;6,75;;
03/04/2023;20:00:00;1093;Coca-Cola Zero Lata;5;Voucher;8765;Física;4 estrelas;2,25;;
04/04/2023;20:30:00;1094;Sorvete de Creme;4,5;Cartão de Crédito Elo;9876;Delivery;2 estrelas;2,03;;
05/04/2023;21:00:00;1095;Tacos de Peixe;7,75;Cartão de Crédito Hipercard;1098;Física;5 estrelas;3,49;;
06/04/2023;21:30:00;1096;Café Descafeinado;12,5;Cartão de Crédito Hiper;5432;Física;4 estrelas;5,63;;
07/04/2023;22:00:00;1097;Tarte de Maçã;12;Cartão de Débito Elo;1234;Delivery;3 estrelas;5,40;;
08/04/2023;22:30:00;1098;Burrito de Camarão;13,75;Cartão de Débito Hipercard;2109;Delivery;5 estrelas;6,19;;
